Date,PWM,Temp_1,Eggs_1,Larvae_1,Pupae_1,Adults_1,Temp_2,Eggs_2,Larvae_2,Pupae_2,Adults_2,Temp_3,Eggs_3,Larvae_3,Pupae_3,Adults_3,Temp_4,Eggs_4,Larvae_4,Pupae_4,Adults_4,Temp_5,Eggs_5,Larvae_5,Pupae_5,Adults_5
2003/3/11,0:00:00,12,23.0433333333333,45.5808988424445,41,10,13.3,22.6125,45.7188237277932,41,10,13.3,22.6125,45.7188237277932,41,10,13.3,22.6125,45.3235876929167,41,10,13.3,22.6125,45.7188237277932,41,10,13.3
2003/3/12,0:00:00,12,24.88375,54.4943948219173,41,10,12.635,24.0445833333333,52.4361359259324,41,10,12.635,24.0445833333333,52.4355310618861,41,10,12.635,24.0445833333333,88.2789138570885,41,10,12.635,24.0445833333333,52.5481267935408,41,10,12.635
2003/3/13,0:00:00,12,22.9083333333333,61.0527469021747,41.0000008190955,9.99999999999962,12.0032500000017,21.6854166666667,58.9944887347677,41.0000000905177,9.99999999999998,12.0032500000001,21.6854166666667,58.99388395707,41.000000004169,10,12.00325,21.6854166666667,130.999352633024,41.0018599869029,9.99999998245973,12.0032500892738,21.6854166666667,59.1064796896808,41.0000000032128,10,12.00325
2003/3/14,0:00:00,12,23.14875,67.0824235948859,41.0036457402344,9.99999998044408,11.403087540251,21.7208333333333,65.2922258564821,41.0004155530952,9.9999999992531,11.4030875015224,21.7208333333333,65.2919966325491,41.0000399129819,9.9999999999764,11.4030875000513,21.7208333333333,173.040724934973,43.8695564797444,9.99862266860975,11.4057620870715,21.7208333333333,65.4046009800412,41.0000312971444,9.99999999998338,11.4030875000361
2003/3/15,0:00:00,12,23.1083333333333,72.6942097637518,41.2436851386061,9.99999181183671,10.8329458185691,24.4733333333333,71.9310111699814,41.0961725220218,9.99999836151733,10.8329360528137,24.4733333333333,71.4831957275246,41.0204278387483,9.99999987633218,10.8329333633381,24.4733333333333,183.768104228939,64.3918695624128,9.85502925688394,11.0232417671636,24.4733333333333,72.0096502326458,41.0188639604625,9.99999989137485,10.8329333384454
2003/3/16,0:00:00,12,22.7816666666667,76.255048725156,43.4911571188573,9.99961152750356,10.2917990363562,24.1104166666667,75.9099233947163,42.9141349082215,9.99977631729249,10.2916062253258,24.1104166666667,76.5284645844107,41.7505487426493,9.9999650057705,10.2913396811565,24.1104166666667,173.064479396381,84.0109188240777,9.03786604492971,11.3372749126971,24.1104166666667,76.7713052937556,41.6072094728648,9.99997643070854,10.2913214967518
2003/3/17,0:00:00,12,21.6654166666667,75.6858302511389,49.6381840200527,9.99564924633024,9.78181535450276,23.43875,73.6883922810797,50.2755376716877,9.99488316854335,9.78306817895279,23.43875,76.8668080518971,46.6795785646178,9.99849642501964,9.77869078786002,23.43875,157.432116707286,105.282028011184,7.43550251900761,12.3575636654221,23.43875,77.8253745785826,46.1476302309391,9.99878447520837,9.77834348793094
2003/3/18,0:00:00,12,21.3166666666667,71.5726387144604,59.1073298300714,9.97538477235609,9.31503418070918,23.0516666666667,66.4361706190772,62.7935013525085,9.95663712965733,9.33732477015862,23.0516666666667,70.5704789720536,57.9724109029355,9.98141289066214,9.30979562182169,23.0516666666667,137.318238919249,132.007081868111,5.13825834357231,13.9710899657139,23.0516666666667,71.8813553934077,57.0695884422088,9.98389906732775,9.30696523774689
2003/3/19,0:00:00,12,23.4229166666667,62.6019314028209,72.8175906384538,9.85935910240824,8.97866856478022,21.5541666666667,60.1941578810909,74.173542480694,9.83839388641181,8.99378777417973,21.5541666666667,62.6694997521794,71.0147665801018,9.90344411180249,8.92869536327194,21.5541666666667,115.409260319239,159.071426660629,3.07074345206165,15.1898826438903,21.5541666666667,64.159905857599,69.9327593487378,9.91520434434143,8.91600909620801
2003/3/20,0:00:00,12,23.7566666666667,54.5417701634189,85.4696988238786,9.44727456105961,8.96642644988298,19.9475,56.9728983803378,82.3139731362224,9.63676489172591,8.74406255042204,19.9475,56.265355723045,82.3459712540008,9.69445453631478,8.69896245190511,19.9475,92.4900700783848,189.614767880002,1.42075627229987,15.9495770497874,19.9475,57.6423135571259,81.3789581016725,9.72872854552272,8.66386343120558
